Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Note
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,,,#date+year,#indicator+type,#indicator+value+num,,
FRA,2012-03-01,2012-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2012,2012,,99.120000,X,base year is 2015
FRA,2013-03-01,2013-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2013,2013,,100.340000,X,base year is 2015
FRA,2014-03-01,2014-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2014,2014,,99.930000,X,base year is 2015
FRA,2015-03-01,2015-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2015,2015,,99.970000,X,base year is 2015
FRA,2016-03-01,2016-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2016,2016,,100.350000,X,base year is 2015
FRA,2017-03-01,2017-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2017,2017,,101.170000,X,base year is 2015
FRA,2018-03-01,2018-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2018,2018,,102.760000,X,base year is 2015
FRA,2019-03-01,2019-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2019,2019,,105.230000,X,base year is 2015
FRA,2020-03-01,2020-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2020,2020,,107.340000,X,base year is 2015
FRA,2021-03-01,2021-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2021,2021,,108.380000,X,base year is 2015
FRA,2022-03-01,2022-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2022,2022,,111.870000,X,base year is 2015
FRA,2023-03-01,2023-03-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7003,March,2023,2023,,130.780000,X,base year is 2015
FRA,2000-04-01,2000-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2000,2000,,77.420000,X,base year is 2015
FRA,2001-04-01,2001-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2001,2001,,81.400000,X,base year is 2015
FRA,2002-04-01,2002-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2002,2002,,84.340000,X,base year is 2015
FRA,2003-04-01,2003-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2003,2003,,85.930000,X,base year is 2015
FRA,2004-04-01,2004-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2004,2004,,87.150000,X,base year is 2015
FRA,2005-04-01,2005-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2005,2005,,87.010000,X,base year is 2015
FRA,2006-04-01,2006-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2006,2006,,87.890000,X,base year is 2015
FRA,2007-04-01,2007-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2007,2007,,88.910000,X,base year is 2015
FRA,2008-04-01,2008-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2008,2008,,93.690000,X,base year is 2015
FRA,2009-04-01,2009-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2009,2009,,94.480000,X,base year is 2015
FRA,2010-04-01,2010-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2010,2010,,95.260000,X,base year is 2015
FRA,2011-04-01,2011-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2011,2011,,95.820000,X,base year is 2015
FRA,2012-04-01,2012-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2012,2012,,99.100000,X,base year is 2015
FRA,2013-04-01,2013-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2013,2013,,100.660000,X,base year is 2015
FRA,2014-04-01,2014-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2014,2014,,99.760000,X,base year is 2015
FRA,2015-04-01,2015-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2015,2015,,99.980000,X,base year is 2015
FRA,2016-04-01,2016-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2016,2016,,100.320000,X,base year is 2015
FRA,2017-04-01,2017-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2017,2017,,101.090000,X,base year is 2015
FRA,2018-04-01,2018-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2018,2018,,102.810000,X,base year is 2015
FRA,2019-04-01,2019-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2019,2019,,105.290000,X,base year is 2015
FRA,2020-04-01,2020-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2020,2020,,109.630000,X,base year is 2015
FRA,2021-04-01,2021-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2021,2021,,109.050000,X,base year is 2015
FRA,2022-04-01,2022-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2022,2022,,113.610000,X,base year is 2015
FRA,2023-04-01,2023-04-30,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7004,April,2023,2023,,131.470000,X,base year is 2015
FRA,2000-05-01,2000-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2000,2000,,77.760000,X,base year is 2015
FRA,2001-05-01,2001-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2001,2001,,82.930000,X,base year is 2015
FRA,2002-05-01,2002-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2002,2002,,84.580000,X,base year is 2015
FRA,2003-05-01,2003-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2003,2003,,85.890000,X,base year is 2015
FRA,2004-05-01,2004-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2004,2004,,87.390000,X,base year is 2015
FRA,2005-05-01,2005-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2005,2005,,87.400000,X,base year is 2015
FRA,2006-05-01,2006-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2006,2006,,88.520000,X,base year is 2015
FRA,2007-05-01,2007-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2007,2007,,89.330000,X,base year is 2015
FRA,2008-05-01,2008-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2008,2008,,94.670000,X,base year is 2015
FRA,2009-05-01,2009-05-31,68,'250,France,23013,"Consumer Prices, Food Indices (2015 = 100)",6125,Value,7005,May,2009,2009,,94.760000,X,base year is 2015
